,Level,Type_of_Job,Description
1,Mid-Senior level,Full-time,"Senior Deep Learning Scientist   Location: New York, NY    A high growth startup is looking to hire elite Deep Learning Scientists.  If you have a passion for developing next generation algorithms and a desire to help change the way we live and work then look no further.   We are designing and training various deep learning models to help people for precision medicine and therapeutics.   Solve incredibly challenging problems with extremely passionate and experienced data scientists.  We are looking to hire experienced teammates who are equally passionate about problem solving.   Skills:  Ph.D or MS in Computer Science, Physics, Electrical Engineering, Computer Vision, Statistics or Math  Strong machine learning or NLP, BERT Experience working with deep learning frameworks like TensorFlow, Caffe2, Theano, CNTK and PyTorch Strong understanding of deep learning theory: CNN, RNN, LSTM and ANN Solid programming Python  Graphics GPU computing CUDA, OpenCL   Level: Senior or Lead (we are unable to sponsor at this time)  Full health benefits  Unlimited vacation Unlimited sick days Commuter benefits and more...     Please reach out for more information key words: image processing, machine processing, deep learning, neural networks, python"
2,Executive,Full-time,"SVP Data Science & AnalyticsHouston, TX  The SVP of Data Science & Analytics will report to the CIO and be responsible for building and managing a team of data engineers and data scientists to develop, implement, and maintain the organisations data analytics program. The successful candidate will ensure our organisations capability to model, predict, and improve decision making and operational performance across all levels.   Key requirements: • Developing and managinh the entire organizaitions data analytics strategy including articulating to all members in c-suite a strong vision for the creative use of data and analytics to transform the industry   • Develops and maintainng relationships across the organization to align data strategy and identify opportunities for using best in class models and algorithms to enhance efficiency and improve current business practices    • Implements the use of regression and machine learning techniques to predict operational issues and opportunities   • Integrates and mines large data sets, connecting data from various sources to define insights and patterns using predictive and prescriptive analytics.  Essential experience and job requirements:  • Experience with regression analysis, including GLMs, Bayesian methods, and classification techniques.   • Experience with numerical optimization including LP, NLP, iterative and/or stochastic methods    • Demonstrated proven track record of successfully leading multi-discipline teams .    • Demonstrated ability to build productive relationships with employees at all levels of the organization."
3,Not Applicable,Full-time,"We are looking for a Data Scientist with experience applying Data Science processes and tools to solve real-world problems for our customers in the Federal, Defense, and Intelligence sectors. ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging Publicly Available Information (PAI) as well as Federal, Defense, and Intelligence data.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.QualificationsStrong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.Minimum RequirementsUS CitizenshipMust qualify for a security clearance from the U.S. Department of Defense. Take the quiz available here: https://bit.ly/2NMh1Pj.B.S. in a field of Science, Technology, Engineering, or MathematicsPreferencesActive clearance with the Department of DefenseM.S. or Ph.D. in a field of Science, Technology, Engineering, or Mathematics10+ years of work experienceExperience with DoD/IC Information SystemsExperience with Big Data software projects (e.g. Hadoop, Spark, Kafka, Elasticsearch)Raptics, Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
4,Not Applicable,Contract,"•	Big data full stack engineers  – who are conversant with Apache Spark, Scala, Kafka & HBase.•	Emphasis on search capability / search optimization •	Experience working in an Agile environment o	3rd party – Streamset & Naveda o	SQL Server •	Web Services – Spring Boot •	DevOps – Chef 11/12, Dockers•	Data gather & pusher – Caska •	Working w/Data Science Group – Modeling & Scoring "
5,Mid-Senior level,Full-time,"Job descriptionPosition SummaryThis individual will be responsible for developing and managing the data architecture to support credit limits data mart and marketing analytics and reporting. This individual will partner with technology and individuals across the Customer Insight organization to define, design, and build scalable solutions and processes to support key marketing analytics initiatives.Key ResponsibilitiesResponsible for architecting, developing, managing, and automating data solutions to support advanced reporting and analytic solutions for Credit Limit,Overdraft Limit, and marketingSupport the data needs for key marketing analytics initiatives. Examples may include multi-touch attribution, media mix modeling, net promoter score, customer segmentation, and propensity modelingMaintain data controls and quality control programs across marketing data sourcesWork with team members to design and create standardized SAS programs and data to more efficiently support reporting metricsSupport ad-hoc data analysis requests from senior leadershipParticipate in technical design reviews and provide technical expertiseQualificationsRequired Qualifications: 3+ years of experience with SAS or SQL to access, transform, and report on data is required. The individual is expected to be ""hands-on"" with the dataBachelors' Degree in computer science or related business, engineering or quantitative field (e.g. CS, MIS, Statistics, Mathematics, Engineering, etc.)Desired QualificationsProficiency with SAS required (EG a strong plus), intermediate to expert SQL skills and experience with large data warehousing environments (Teradata, Hadoop, Oracle, etc.)Experience with Tableau or other BI/visualization toolExposure to UNIX programmingMarketing analytics and operations including database marketing, direct marketing measurement, response attribution or campaign related dataKnowledge of the financial services industrySAS Data Integration Developer will be responsible for maintaining, manipulating and managing the data to feed into the Analytical Data Marts. 3+ years of experience in advanced SAS programming. Experience with SQL and relational database is required.Must have very good SAS Application Development Programming experienceDevelopment experience in SAS, SQL, UNIXExperience in SAS/MACROS SAS/SQL is a mustExperience working with databases like MySQL/TERADATADatabase ETL experience"
6,Associate,Contract,"Job DescriptionSenior Java DeveloperDenver, COContract OpportunityWe're in search of a seasoned developer who loves building great experiences and has a passion for making complex operations easy to perform. You will be modifying existing applications and data access logic to meet more complex requirements.Technical Experience Degree in Computer Science/Engineering or related discipline Minimum 3 years of experience designing and developing in Java Very skilled programming with React Very skilled programming with SpringBoot Experience in Agile software development methodologies We're explicitly looking for React experience in a Java environment"
7,Associate,Full-time,"Data Scientist is needed in Culver City, CA for 3-6 months (that will convert to a FULL TIME position)   Our client is looking for a Data Scientist with strong business acumen to join their rapidly growing data team. You will have high visibility in this role within the company partnering with media, business development, and strategy teams.   This role requires someone to work with large volumes of social engagement and transaction data to discover trends, analyze results, patterns, and provide ad-hoc exploration to make ambiguous data actionable.   Specific Requirements include:   Provide Thought leadership in customer      segmentation, behavior based modeling (propensity, churn, LTV) data      strategy and analytic approaches  Work with clients to better understand      strategic business decisions.  Develop optimization plans for ongoing      marketing campaigns.  Integrate and improve machine learning      pipelines on propensity scoring and LTV projection to granularize the      understanding of user journey and customer value.  Drive buildout and improvement of ETL      pipelines in support of data aggregation movement and analysis.    We are seeking Data Scientists who meet the following requirements:   6+ Years experience data mining very large      complex multi-dimensional datasets.  Must have technical mastery with large      individual behavioral data sets (gaming, retail, financial services) and      expertise in communication channel best practices.  Must have Technical mastery in database      mining tools and be a SQL and Excel Master.  Must be proficient in SAS/ R/ Python (any of      the 3) and be able to coach and train others on best practices. (ideally)  Must be an Excel master able to write      Macros.  Prefer candidates who a degree in data      science or a quantitative field.  Must have experience work Marketing      Measurement methodologies.    This is a technical Data Science role more related to manipulating and analyzing data to derive insights than being able to translate insights into actionable business decisions.    Must be at least 18 years old. Onward Search is a drug-free workplace. Onward Search is an equal opportunity employer, dedicated to a policy of non-discrimination in employment with regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, veteran status or any other classification protected by federal, state and local laws and ordinances, nationally and internationally. EOE/M/F/D/V/SO"
8,Mid-Senior level,Full-time,"Data Engineer Raleigh, NC Software Start-Up Compensation: $130,000-$170,000 (Unlimited PTO, Daily Catered Lunches, Free Gym Membership) This innovative and well-established Healthcare organization is actively looking to add a Data Science to their team. As part of a newly developed Data team, you will work with our Cloud Architect to design and build out the AWS data pipeline to fuel the company along its digital journey. The ideal candidate will be a self-starter with superior communication skills (verbal and written). A solid understanding of data science, advanced statistics, machine learning, data mining and visualization techniques are a must. In addition to the following qualifications the desire and ability to learn quickly is vital.  Skills You Will Need: Solid coding experience in various programming or scripting languages such as Python, Spark, Scala, R and/or Shell scripting. Experience optimizing and performance tuning ‘big data’ data pipelines and data sets with distributed technologies (e.g. Spark, Hive, or Pig). Exposure in engineering (commercial or open-source) software platforms and large-scale data infrastructures, CI/CD DevOps toolchain. Experience working with production systems. Minimum Qualifications: Bachelors in Computer Science or related field, 5+ years of relevant practical experience in data science or data engineering Experience with a wide variety of machine learning models and techniques (e.x. supervised and unsupervised learning, dimensionality reduction) Excellent command of Python and relevant libraries (Numpy, Scipy, Sklearn, etc.) Strong understanding of the fundamental mechanics of machine learning algorithms History of building and interacting with SOAP/RESTful APIs. Ideal candidates will: Experience working on the AWS (or similar) platform Infrastructure as a Service exposure. Docker/container orchestration experience.  "
9,Mid-Senior level,Full-time,"Evaluate current data to identify new opportunities for the company – both within and outside of existing products and offerings  Develop data science solutions as currently defined by the existing product roadmap  Analyze and visualize data to draw insights and validate hypotheses  Work with engineers / data scientists to develop prototype solutions  Present solutions / findings to senior management  Continuous research to stay updated with state-of-the-art Machine Learning tools & solutions  Prototype algorithms using Python and/or other languages with appropriate libraries and frameworks  Design and develop machine learning algorithms related to different aspects of the business  Work with product management team to define priorities  Work with engineering team to define parameters for implementation/deployment   Requirements & Preferred Skills:   4 years or more of relevant work experience, of which at least 2 years is as a Data Scientist  Excellent communication skills – verbal, written and presentation  Experience with a range of statistical, artificial intelligence and  machine learning techniques as well as tools used in their  implementation  Experience working with structured and unstructured data  Hands-on experience with one or more major cloud based ML platforms: Azure / GCP / AWS preferred  Deep knowledge and experience of feature extraction and various ML  algorithms such as regression, classification, clustering,  dimensionality reduction  Experience working with Time Series data analysis  Demonstrable experience in Exploratory Data Analysis, Data Wrangling and Data Storytelling  Hands-on Python coding skills and familiarity with common Python tools used in Data Science  Deep understanding of model evaluation techniques like cross-validation strategies, ROC, A/B Testing  Understanding of model evaluation metrics like AUC, RMSE, log-loss,  entropy and statistical concepts like P-value, T-test, F-test  Experience working with geo-location data, graph analytics methods, and constrained optimization methods preferred  Work with SPSS or similar tool set is helpful for existing production work"
10,Director,Full-time,"Executive Director Data Science Manager  Who we are We are a new and rapidly growing team of change agents inside a premiere investment bank. We are data scientists, design strategists and business leaders set on creating and building data products that transform the way we and our clients do business - balancing the art of decision making with science.  What we build will matter and have huge impact; our products and solutions will reach thousands of our clients around the world, and affect how our firm does business, moving trillions of dollars a day. Our group will also work closely with FinTech teams to find emerging tech companies that can help us accelerate development of new products.  Why join? New technologies, analytics and business models are emerging with the potential to radically transform financial services. You will be at the leading edge inside the company driving change.  You will: Explore how money moves through our network and around the world.  Turning data into insights to impact the strategy and direction of our products Develop approaches for understanding each individual client and their behavior to deliver a continually improved experience Invent creative and innovative ways to answer key business questions by leveraging existing data assets or creating new ones Develop, plan and execute analytical projects as an individual contributor and in teams.  Bring order to disparate requirements with high tolerance for ambiguity, very strong problem solving ability, and excellent client engagement skills Collaborate with product managers, end users, developers, and other stakeholders to integrate data discoveries and processes into operational capabilities Be a data storyteller, deliver practical data insights in a compelling manner to senior leadership.  Articulate findings clearly and concisely including presentations, discussions and visualizations. Develop deep subject matter expertise in the wide range domains in payments and liquidity to support a diverse set of products  Who you are: Quantitative background – Advanced degree in analytical field (e.g. econometrics, statistics, computer science).  8+ years relevant experience. Understanding of statistics, optimization and machine learning methodologies.  Ideally experienced with large scale graph inference.  Mastery of software design principles and development skills using Python Hybrid at your core - Part statistician, part computer scientist, part researcher, looking for order and patterns in data. This is an incredible opportunity for hybrid thinkers that love to learn and synthesize in a high-performing culture. Analytical thought leader - You can define the analytical agenda for projects, frame ambiguous business questions into analytical plans (e.g., assess data needs, source files, prepare data, create new features, evaluate quality, etc.), and execute. Cognitive and Communications Skill - Highly articulate, built upon an underlying fundamental clarity of thought. General ability to root out fundamental issues, bring order from chaos, synthesize elegant insights, and drive to clear decisions. Leadership - Primary focus of building something of significance. Willingness to roll up sleeves and do whatever it takes. Self-confidence, poise, and personal presence that inspires confidence in others. Charisma, gravitas, intellect, flexibility, and integrity that motivates others to trust, collaborate, and follow."
