,Level,Type_of_Job,Description
1,Mid-Senior level,Full-time,"Our client is building the future of medical decision-making. Instead of trusting one person based on their credentials, they get opinions from many people and trust them based on skills. On their mobile app users compete to analyze medical cases most accurately as they help to build the next generation of medical AI. They're backed by Y Combinator, Accel, Global Founders Capital, the LEO Innovation Lab, and MIT.  About the role: They are a small, fast-moving engineering team. As our first engineer devoted exclusively to the backend, your work will shape our product and software systems for years to come. You'll help us implement industry best practices and develop a strong engineering team culture. The ideal candidate has both depth and breadth, is comfortable working up and down the stack, and knows how to balance quality with speed. Note: They're a full-stack Swift company, one of the earliest adopters of server-side Swift in production (Vapor framework). They love Swift's speed of development, safety, and modern design.  Day-to-day responsibilities include: Developing clean APIs for our mobile app and customers Continuous improvement of our data models and data storage Proactively monitoring and optimizing infrastructure performance, logging, and error handling Gathering data for our data science team and building tools to help them translate our data into insights Wearing many hats and getting your hands dirty  Skills: 3+ years developing with a modern web language (e.g. Swift, Node, Golang, Python) Familiarity with cloud infrastructure (e.g. Heroku, AWS, Kubernetes) Working knowledge of SQL databases (we use PostgreSQL)"
2,Mid-Senior level,Full-time,"Senior Deep Learning Scientist   Location: New York, NY    A high growth startup is looking to hire elite Deep Learning Scientists.  If you have a passion for developing next generation algorithms and a desire to help change the way we live and work then look no further.   We are designing and training various deep learning models to help people for precision medicine and therapeutics.   Solve incredibly challenging problems with extremely passionate and experienced data scientists.  We are looking to hire experienced teammates who are equally passionate about problem solving.   Skills:  Ph.D or MS in Computer Science, Physics, Electrical Engineering, Computer Vision, Statistics or Math  Strong machine learning or NLP, BERT Experience working with deep learning frameworks like TensorFlow, Caffe2, Theano, CNTK and PyTorch Strong understanding of deep learning theory: CNN, RNN, LSTM and ANN Solid programming Python  Graphics GPU computing CUDA, OpenCL   Level: Senior or Lead (we are unable to sponsor at this time)  Full health benefits  Unlimited vacation Unlimited sick days Commuter benefits and more...     Please reach out for more information key words: image processing, machine processing, deep learning, neural networks, python"
3,Not Applicable,Full-time,"We are looking for a Data Scientist with experience applying Data Science processes and tools to solve real-world problems for our customers in the Federal, Defense, and Intelligence sectors. ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging Publicly Available Information (PAI) as well as Federal, Defense, and Intelligence data.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.QualificationsStrong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.Minimum RequirementsUS CitizenshipMust qualify for a security clearance from the U.S. Department of Defense. Take the quiz available here: https://bit.ly/2NMh1Pj.B.S. in a field of Science, Technology, Engineering, or MathematicsPreferencesActive clearance with the Department of DefenseM.S. or Ph.D. in a field of Science, Technology, Engineering, or Mathematics10+ years of work experienceExperience with DoD/IC Information SystemsExperience with Big Data software projects (e.g. Hadoop, Spark, Kafka, Elasticsearch)Raptics, Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
4,Not Applicable,Contract,"•	Big data full stack engineers  – who are conversant with Apache Spark, Scala, Kafka & HBase.•	Emphasis on search capability / search optimization •	Experience working in an Agile environment o	3rd party – Streamset & Naveda o	SQL Server •	Web Services – Spring Boot •	DevOps – Chef 11/12, Dockers•	Data gather & pusher – Caska •	Working w/Data Science Group – Modeling & Scoring "
5,Mid-Senior level,Full-time,"We are seeking healthcare analytics lead to support all analytics needs with respect to a growing portfolio of health plan customers and physicianMSO partners. The analyst will take the lead on complex analyses that will lead to critical business decisions at the onset of a new client relationship, as well as on an ongoing basis to help address ongoing medical management operational needs. While this is a highly collaborative role on a growing team, this is a highly analytical, self-directed role requiring healthcare/medical economics experience, both critical and strategic thinking skills, attention to detail, and an ability to manage multiple projects in a fast-paced environment.Job DescriptionEssential FunctionsResearch, analyze present results and recommend intelligent solutions to solve problems and address business challenges by applying knowledge of medical claims analysis, critical-thinking skills, and healthcare experience/expertise. This may range from developing proposals to new and existing clients to clinical quality and utilization management projects, to new initiatives that you may come up with yourself.• Structure analytical results in an organized, visual manner to tell a meaningful, actionable story.• Write SQL queries, create end-user reports, and apply varying analytical techniques to solve specific business problems.• Determining credibility and usability of claims data prior to delivery of analytic results.• Interpret contractual language and have a clear understanding of business rules and reporting requirements• Establish trusting professional relationships with internal senior business customers.• Maintain alignment of expectations and priorities in an autonomous fashion.QualificationsThe Healthcare Analytics team functions as a compilation of three main components: (1) the liaison between the data warehouse teams and all internal and external clients that are supported by Healthcare Analytics including: finance, operations, clinical, and external clients by overseeing that contractual business rules are correctly applied to raw data and that end-user reporting is accurate (2) traditional medical economics support: combining deep knowledge of medical claims and other data with understanding of healthcare payment systems to drive actionable insights and collaboration with actuarial (3) advanced analytics: statistical modeling, development of risk adjustment metrics, ad-hoc studies with Data Science.• An undergraduate degree is required, master’s preferred in math, statistics, computer science, or another related quantitative field• Minimum of 4 years of experience or proven ability working as an analyst in the health care industry with medical claims, membership, and provider data.Proven experience working with some combination of Medicare, Medicaid, and Commercial paid claims data sets. Other applicable data sets include Census and Member Eligibility data sets.• Reasonable experience with Structured Query Language (SQL) required.• Advanced analytic skills with the ability to build statistical and predictive models to help support business decisions• Ability to analyze and interpret medical claims data through complex analysis that leads to strategic business decisions• Experience in data mining, statistical analysis, and data transformation/manipulation.• Experience working with large data repositories and/or relational databases.• Expertise in MS Excel, with proficiency using formulas, PivotTables, linked worksheets, graphing and other reporting and presentation features.• Ability to tell a succinct, meaningful, and actionable story with data using visualization and other techniques.• Ability to work on multiple projects simultaneously with minimal supervision.• Ability to quickly adapt to changes in both technology and business environments.• Ability to analyze data and apply investigative skills in resolving issues.• Ability to produce clear, written presentations and supporting documentation.• Highly self-motivated and directed with keen attention to detail."
6,Entry level,Full-time,"In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019.About BAMM:Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences.Your Role:BAMM has an opportunity for a qualitative researcher to join our growing New York City office. We’re looking for an ambitious qualitative research specialist, with 2-3 years’ experience, who’s eager to work on big, strategic insights projects for the world’s leading brands. Ideally, we’re looking for candidates who have ethnographic or anthropological experience.This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists. We’re looking for candidates who have the energy and desire to innovate in the qualitative research space, who want to find new, smarter ways to solve client challenges, and who are interested in combining ethnographic techniques with leading edge data science and behavioral science. We will provide the space, support and culture to help ensure success.Your Responsibilities: Help lead the design and execution of the ethnographic & qualitative portions of client projects Help build out and lead our qualitative research innovation agendaHelp build new ethnographic and qualitative products & techniquesHelp create PowerPoint storylines for client projects that drive consumer, cultural and brand understanding Attend client meetings, and help respond to client questions and requests when needed Attend and contribute to all internal team meetings and brainstormsKeep abreast of the newest resources, approaches and techniques in data, statistics and analyticsQualified candidates will have:Undergraduate degree (ideally in anthropology, psychology or sociology)Strong academic background2-3 years of relevant work experienceDemonstrable qualitative/ethnographic research skillsIn-depth knowledge of observational, projective, and consumer interview techniquesAbility to pull out compelling insights from the researchHigh attention to detail without sacrificing the big pictureAbility to work across multiple projects while meeting deadlinesStrong interpersonal and communication skills, and a collaborative, constructive approachNatural interest in consumers, how they live their lives, how the culture around them is changingWe are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
7,Executive,Full-time,"SVP Data Science & AnalyticsHouston, TX  The SVP of Data Science & Analytics will report to the CIO and be responsible for building and managing a team of data engineers and data scientists to develop, implement, and maintain the organisations data analytics program. The successful candidate will ensure our organisations capability to model, predict, and improve decision making and operational performance across all levels.   Key requirements: • Developing and managinh the entire organizaitions data analytics strategy including articulating to all members in c-suite a strong vision for the creative use of data and analytics to transform the industry   • Develops and maintainng relationships across the organization to align data strategy and identify opportunities for using best in class models and algorithms to enhance efficiency and improve current business practices    • Implements the use of regression and machine learning techniques to predict operational issues and opportunities   • Integrates and mines large data sets, connecting data from various sources to define insights and patterns using predictive and prescriptive analytics.  Essential experience and job requirements:  • Experience with regression analysis, including GLMs, Bayesian methods, and classification techniques.   • Experience with numerical optimization including LP, NLP, iterative and/or stochastic methods    • Demonstrated proven track record of successfully leading multi-discipline teams .    • Demonstrated ability to build productive relationships with employees at all levels of the organization."
8,Associate,Full-time,"Data Scientist is needed in Culver City, CA for 3-6 months (that will convert to a FULL TIME position)   Our client is looking for a Data Scientist with strong business acumen to join their rapidly growing data team. You will have high visibility in this role within the company partnering with media, business development, and strategy teams.   This role requires someone to work with large volumes of social engagement and transaction data to discover trends, analyze results, patterns, and provide ad-hoc exploration to make ambiguous data actionable.   Specific Requirements include:   Provide Thought leadership in customer      segmentation, behavior based modeling (propensity, churn, LTV) data      strategy and analytic approaches  Work with clients to better understand      strategic business decisions.  Develop optimization plans for ongoing      marketing campaigns.  Integrate and improve machine learning      pipelines on propensity scoring and LTV projection to granularize the      understanding of user journey and customer value.  Drive buildout and improvement of ETL      pipelines in support of data aggregation movement and analysis.    We are seeking Data Scientists who meet the following requirements:   6+ Years experience data mining very large      complex multi-dimensional datasets.  Must have technical mastery with large      individual behavioral data sets (gaming, retail, financial services) and      expertise in communication channel best practices.  Must have Technical mastery in database      mining tools and be a SQL and Excel Master.  Must be proficient in SAS/ R/ Python (any of      the 3) and be able to coach and train others on best practices. (ideally)  Must be an Excel master able to write      Macros.  Prefer candidates who a degree in data      science or a quantitative field.  Must have experience work Marketing      Measurement methodologies.    This is a technical Data Science role more related to manipulating and analyzing data to derive insights than being able to translate insights into actionable business decisions.    Must be at least 18 years old. Onward Search is a drug-free workplace. Onward Search is an equal opportunity employer, dedicated to a policy of non-discrimination in employment with regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, veteran status or any other classification protected by federal, state and local laws and ordinances, nationally and internationally. EOE/M/F/D/V/SO"
9,Mid-Senior level,Full-time,"Data Engineer Raleigh, NC Software Start-Up Compensation: $130,000-$170,000 (Unlimited PTO, Daily Catered Lunches, Free Gym Membership) This innovative and well-established Healthcare organization is actively looking to add a Data Science to their team. As part of a newly developed Data team, you will work with our Cloud Architect to design and build out the AWS data pipeline to fuel the company along its digital journey. The ideal candidate will be a self-starter with superior communication skills (verbal and written). A solid understanding of data science, advanced statistics, machine learning, data mining and visualization techniques are a must. In addition to the following qualifications the desire and ability to learn quickly is vital.  Skills You Will Need: Solid coding experience in various programming or scripting languages such as Python, Spark, Scala, R and/or Shell scripting. Experience optimizing and performance tuning ‘big data’ data pipelines and data sets with distributed technologies (e.g. Spark, Hive, or Pig). Exposure in engineering (commercial or open-source) software platforms and large-scale data infrastructures, CI/CD DevOps toolchain. Experience working with production systems. Minimum Qualifications: Bachelors in Computer Science or related field, 5+ years of relevant practical experience in data science or data engineering Experience with a wide variety of machine learning models and techniques (e.x. supervised and unsupervised learning, dimensionality reduction) Excellent command of Python and relevant libraries (Numpy, Scipy, Sklearn, etc.) Strong understanding of the fundamental mechanics of machine learning algorithms History of building and interacting with SOAP/RESTful APIs. Ideal candidates will: Experience working on the AWS (or similar) platform Infrastructure as a Service exposure. Docker/container orchestration experience.  "
10,Mid-Senior level,Full-time,"Evaluate current data to identify new opportunities for the company – both within and outside of existing products and offerings  Develop data science solutions as currently defined by the existing product roadmap  Analyze and visualize data to draw insights and validate hypotheses  Work with engineers / data scientists to develop prototype solutions  Present solutions / findings to senior management  Continuous research to stay updated with state-of-the-art Machine Learning tools & solutions  Prototype algorithms using Python and/or other languages with appropriate libraries and frameworks  Design and develop machine learning algorithms related to different aspects of the business  Work with product management team to define priorities  Work with engineering team to define parameters for implementation/deployment   Requirements & Preferred Skills:   4 years or more of relevant work experience, of which at least 2 years is as a Data Scientist  Excellent communication skills – verbal, written and presentation  Experience with a range of statistical, artificial intelligence and  machine learning techniques as well as tools used in their  implementation  Experience working with structured and unstructured data  Hands-on experience with one or more major cloud based ML platforms: Azure / GCP / AWS preferred  Deep knowledge and experience of feature extraction and various ML  algorithms such as regression, classification, clustering,  dimensionality reduction  Experience working with Time Series data analysis  Demonstrable experience in Exploratory Data Analysis, Data Wrangling and Data Storytelling  Hands-on Python coding skills and familiarity with common Python tools used in Data Science  Deep understanding of model evaluation techniques like cross-validation strategies, ROC, A/B Testing  Understanding of model evaluation metrics like AUC, RMSE, log-loss,  entropy and statistical concepts like P-value, T-test, F-test  Experience working with geo-location data, graph analytics methods, and constrained optimization methods preferred  Work with SPSS or similar tool set is helpful for existing production work"
